DISTRICT,PERCENT_DIPLOMA,PERCENT_NON_DIPLOMA,PERCENT_STILL_ENROLLED,PERCENT_GED,PERCENT_DROPOUT
f5a6cc88,69,2,18,0,11
0a4984df,90,1,4,0,4
56f2c546,96,1,1,0,2
e93bd0b0,84,2,7,0,7
b469f4b9,79,1,7,0,14
4923e0df,89,1,5,1,5
be365094,89,1,7,0,3
f4ad021a,83,0,11,0,6
f2e50ebe,93,0,4,0,2
dbcd30a8,96,0,3,0,1
41ee21b5,78,0,14,0,8
4a3ddfc5,90,2,4,0,4
612c33fa,76,0,24,0,0
2b1762db,90,7,0,0,3
a3eb2321,100,0,0,0,0
b473588a,90,0,0,0,10
f9b0eb9f,92,0,4,0,4
ef63b732,90,0,2,0,8
b5953f96,88,0,0,0,13
e9c4dc9e,87,0,6,0,8
2852f4d2,90,0,5,0,5
61b50d6d,92,2,1,0,5
f642098c,91,0,2,0,8
7015370d,86,1,3,5,5
8490cf6c,69,1,13,3,15
af1af4c1,80,0,6,0,14
aad31e2a,88,1,2,3,7
9169637a,85,1,5,2,7
6ccacc87,89,0,2,2,7
c41f2a25,85,0,12,0,3
9b78d3f4,82,2,9,1,7
549eb20a,75,0,14,2,9
032f7ff7,82,1,7,1,10
5a13e38f,92,0,5,1,2
cafe79c3,93,0,4,1,2
c2d46611,80,0,7,0,13
02cbfd41,92,1,2,0,4
99c152d6,98,0,2,0,0
89814c1d,91,0,2,0,7
6a07f08d,88,5,2,0,5
7ff15405,88,6,3,0,3
4ff92975,75,3,7,1,15
350a575e,83,0,7,0,10
60c25e6f,98,0,1,0,1
911b4212,95,2,0,0,3
5475330e,85,1,9,4,1
ef3f1823,81,1,8,0,10
3b6fb75a,71,5,6,2,16
2456294d,89,2,0,2,8
9065b5c7,92,2,2,0,5
873bdda0,91,0,0,5,5
d2761e11,91,0,3,1,4
c997813f,91,3,1,0,5
cb02ffef,90,2,3,0,5
972e9e63,94,2,0,0,4
03fc60b1,79,1,12,0,7
7b384d18,87,0,3,0,10
12c87639,95,0,3,0,2
3fa68dd1,90,0,3,0,8
c3f0e5cf,92,0,0,0,8
c3d42e7f,71,0,12,0,16
88a477a8,92,4,2,0,2
0c409c33,85,0,10,0,5
3db6464f,84,1,3,2,10
14018166,90,0,3,3,5
4e5a2e52,90,0,10,0,0
45fba2a3,73,1,10,0,17
e08abedf,89,0,6,0,5
d71c7f93,91,0,7,0,2
3065ce4a,94,0,3,0,3
f8a201f0,83,2,11,0,4
de0d256c,71,1,17,2,9
e843faf2,89,0,8,0,3
86f7ebeb,88,1,3,4,4
30406d3b,90,2,6,0,2
7e14bce4,90,0,2,0,8
49965dcb,89,0,3,0,8
fa4bec9d,92,0,5,0,3
c11a4ada,76,2,2,2,18
3c2db4f2,80,7,7,0,7
03d79c47,86,2,8,0,4
fc00931c,84,0,6,2,8
0e5c73e0,91,0,3,0,6
073143d8,90,3,1,0,7
f7513f40,88,1,2,0,9
3e6b27e1,85,6,3,0,6
a7674f0b,91,0,2,0,8
042439c8,86,2,3,0,9
f0e2393b,88,1,7,0,5
277e6892,92,1,2,0,5
f3bc51a5,82,1,10,0,7
cbf4ee7f,100,0,0,0,0
90b67794,90,1,3,0,6
85e80272,73,0,14,0,13
a30813a6,92,2,4,0,1
70837489,97,0,3,0,0
55d41946,97,0,3,0,0
ed551792,76,0,4,1,18
fa48d165,94,3,0,0,3
8ce633b8,85,1,4,4,5
122a3204,85,2,3,3,7
9b9e8186,0,0,0,0,0
677f93d6,95,0,5,0,0
e13e9223,69,0,10,0,21
61ba287a,96,0,2,0,2
f660fee3,81,0,14,0,5
ea8b4e6b,97,0,0,0,3
823e5439,67,0,13,0,21
793f5bcb,95,0,0,0,5
8fb8e717,88,0,9,0,4
2c83760c,94,0,6,0,0
0526948c,100,0,0,0,0
c7d7b532,88,2,0,0,11
b12336c6,90,0,4,2,5
324a5a58,83,2,7,0,8
bc5a5794,80,2,8,0,11
23ffbac9,70,11,4,0,16
25157494,93,0,5,0,2
3b0868a0,82,1,4,1,11
cbc26878,51,1,18,0,29
ffde53db,89,1,7,0,3
81aa682e,95,0,5,0,1
197e59a9,93,0,3,1,3
669d8f0d,87,0,8,1,4
2af6256d,91,1,5,1,3
87a533e9,88,0,8,0,4
12895c04,95,0,4,0,2
802257b5,93,0,4,0,2
aa39ffd4,94,0,3,0,2
5a27975f,88,0,7,0,5
53338db3,96,1,2,0,1
fd34f121,70,1,17,1,11
0e1af04e,83,0,12,0,5
24e10c30,85,1,7,0,7
f81bf818,83,0,5,0,12
6a547341,90,1,6,1,3
f8014e7a,84,2,2,0,10
208e804d,94,1,3,0,2
f48a32fd,96,0,1,0,3
5965944b,95,0,2,0,3
ec57744f,97,0,3,0,1
800f5b9b,90,3,2,0,4
291b2dc2,95,0,2,0,3
4a4f42a5,98,0,2,0,0
2e36d246,87,0,6,0,7
eedb8b19,89,0,9,0,3
348fbff9,82,0,8,0,10
809a2383,94,1,4,0,1
f8b897af,95,1,0,0,4
0cf92398,91,0,2,0,7
d8b01539,94,0,4,0,2
bfd12494,88,0,7,0,4
e74d2883,83,1,9,0,8
697b51ec,86,1,4,2,7
ac385379,89,0,7,0,4
ecdd0215,100,0,0,0,0
e817a720,86,0,14,0,0
ed4fca0b,89,6,2,0,3
bea47445,100,0,0,0,0
6a46f52e,92,3,3,0,3
d8d475c0,85,0,8,0,8
5b1167cc,83,0,6,0,11
6b8239cc,91,0,0,0,9
69821e09,91,0,4,0,4
fe954702,77,3,8,0,12
f5ba5951,92,3,0,0,5
d6b94252,91,5,2,0,1
f94d6798,94,3,0,0,3
d1d53cec,82,1,8,0,9
656751ef,82,0,9,0,9
df9c43f5,100,0,0,0,0
d1071bcd,70,4,8,0,17
d064f728,82,0,13,0,4
39349046,90,0,6,0,4
1f649cf3,88,3,0,0,9
9d219c54,90,2,3,0,5
eb13fbfb,91,0,5,0,5
7ab60d7d,87,1,6,0,6
81766cf2,98,0,2,0,0
590700b9,100,0,0,0,0
4fe6bfa1,97,0,1,0,2
53d4c492,98,0,0,0,2
f7482f64,85,0,2,0,13
d8df460a,92,0,2,0,6
b28169af,82,1,12,0,5
eea1e3b0,84,1,5,0,10
599097cd,89,1,5,0,5
d34bbb0f,92,0,5,0,3
88df97a7,95,0,5,0,0
7d4aed24,87,0,9,0,4
6c6a49dd,0,0,0,0,0
d4de0bb5,60,40,0,0,0
ccfc9242,91,0,9,0,0
5b441bcd,96,2,0,0,2
8859ad99,91,0,4,0,4
a7797942,66,2,13,0,18
966ccb86,83,4,4,0,9
4ca35abd,96,0,0,0,4
cfc1efc7,94,0,3,0,3
5a890414,90,0,10,0,0
3618603b,91,5,0,0,5
70830e16,87,0,2,0,11
790dae37,84,1,5,0,10
317e3b58,91,3,3,0,2
7680f48c,91,0,6,0,3
59f979a4,91,2,3,0,5
b9d004be,93,1,2,0,5
65394ead,89,0,2,2,8
9d7fffb1,88,2,2,0,7
fb08ef9b,93,3,0,0,3
7a078424,100,0,0,0,0
1275bdaa,87,0,0,0,13
