SCHOOL,DISTRICT,COUNTY,DISTRICT_TYPE,REGION,ATTENDANCE_RATE,LANGUAGE_ARTS_AVERAGE_CLASS_SIZE,MATHEMATICS_AVERAGE_CLASS_SIZE,SCIENCE_AVERAGE_CLASS_SIZE,HISTORY_GOVERNMENT_AND_GEOGRAPHY_AVERAGE_CLASS_SIZE,GRADE_1_AVERAGE_CLASS_SIZE,GRADE_2_AVERAGE_CLASS_SIZE,KINDERGARTEN_AVERAGE_CLASS_SIZE,PERCENT_FREE_LUNCH,PERCENT_REDUCED_LUNCH,NUMBER_OF_TEACHERS,NUMBER_OF_COUNSELORS,NUMBER_OF_SOCIAL_WORKERS,TEACHER_TURNOVER_RATE,PERCENT_OF_STUDENTS_SUSPENDED,N_PUPILS,FEDERAL_FUNDING_PER_PUPIL,LOCAL_FUNDING_PER_PUPIL,PRE_K,K,GRADE_01,GRADE_02,GRADE_03,GRADE_04,GRADE_05,GRADE_06,GRADE_07,GRADE_08,GRADE_09,GRADE_10,GRADE_11,GRADE_12,PERCENT_MALE,PERCENT_FEMALE,PERCENT_ENGLISH_LANGUAGE_LEANERS,PERCENT_AMERICAN_INDIAN,PERCENT_BLACK,PERCENT_ASIAN,PERCENT_HISPANIC,PERCENT_WHITE,PERCENT_MULTIRACIAL,PERCENT_WITH_DISABILITIES,PERCENT_ECONOMICALLY_DISADVANTAGED,PERCENT_MIGRANT,PERCENT_HOMELESS,PERCENT_IN_FOSTER_CARE,PERCENT_PARENT_ARMED_FORCES
200cb9f4,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",95,23,23,21,NA,NA,NA,NA,36,0,29,0,1,NA,0,324,4087,30054,32,51,48,49,49,47,42,0,0,0,0,0,0,0,52,48,5,0,22,13,11,43,11,10,36,0,1,0,0
fe6c45ae,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",92,12,12.333333333333334,12,NA,NA,NA,NA,76,0,55,0,1,NA,3,347,4447,30340,0,55,68,57,45,63,59,0,0,0,0,0,0,0,54,46,25,0,36,15,22,19,8,15,76,0,4,2,0
edd71301,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",91,11.666666666666666,11.666666666666666,11,NA,NA,NA,NA,84,0,49,0,1,NA,1,311,3529,24776,20,51,49,52,52,45,42,0,0,0,0,0,0,0,53,47,30,1,32,17,35,9,7,5,84,0,3,0,0
f3fc11ad,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",94,13,13,15,NA,NA,NA,NA,48,0,61,0,2,NA,1,459,3973,30560,0,72,87,85,63,79,73,0,0,0,0,0,0,0,52,48,13,0,23,12,15,38,11,14,48,0,2,0,0
6f19e0a6,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",93,19.666666666666668,19.666666666666668,23,NA,NA,NA,NA,60,0,40,0,1,NA,0,332,4919,36513,0,41,58,56,51,58,46,0,0,0,0,0,0,0,44,56,5,0,43,10,17,18,11,13,60,0,6,0,0
cb919274,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",93,10.666666666666666,10.666666666666666,12,NA,NA,NA,NA,62,0,48,0,0,NA,7,286,4747,32958,0,41,57,50,47,44,47,0,0,0,0,0,0,0,55,45,12,1,28,12,19,32,8,20,62,0,5,0,0
6a16113c,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",92,13,13,14,NA,NA,NA,NA,76,0,34,0,0,NA,6,263,27156,36934,0,36,42,38,42,51,54,0,0,0,0,0,0,0,58,42,17,0,41,26,12,13,9,17,76,0,5,0,0
114c3a85,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",89,13.333333333333334,14.333333333333334,13,NA,NA,NA,NA,89,0,59,0,2,NA,4,406,5184,32439,0,38,63,72,74,82,77,0,0,0,0,0,0,0,52,48,15,1,56,7,23,7,6,26,89,0,8,1,0
50e82e8e,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",90,14.666666666666666,15.25,19,NA,NA,NA,NA,69,0,96,2,3,NA,27,630,4104,33867,0,0,0,0,0,0,0,209,197,224,0,0,0,0,50,49,13,0,39,10,25,20,6,20,69,0,6,1,0
783d02d3,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",83,14,24.666666666666668,21,16.5,NA,NA,NA,71,0,235,10,9,NA,15,2764,3815,30206,0,0,0,0,0,0,0,0,0,0,758,692,613,633,52,48,15,0,43,11,23,17,5,14,71,0,3,0,0
0a758945,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",89,9.333333333333334,9.333333333333334,9,NA,NA,NA,NA,88,0,52,0,2,NA,0,277,4136,38617,0,50,61,44,36,43,32,0,0,0,0,0,0,0,49,51,10,0,60,4,22,6,8,21,88,0,12,0,0
dca5d573,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",91,12,12,13,NA,NA,NA,NA,88,0,47,0,2,NA,11,334,4416,26118,0,51,66,62,61,43,51,0,0,0,0,0,0,0,56,44,33,0,39,20,26,6,9,12,88,0,7,1,0
f29db294,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",91,10.333333333333334,10.333333333333334,9,NA,NA,NA,NA,87,0,45,0,1,NA,2,253,6419,33222,0,52,37,53,33,42,36,0,0,0,0,0,0,0,55,45,16,0,58,3,25,5,9,26,87,0,10,0,1
03981285,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",90,12,13.75,19,NA,NA,NA,NA,72,0,99,3,4,NA,19,573,5043,35815,0,0,0,0,0,0,0,177,189,207,0,0,0,0,57,43,12,0,45,14,18,15,8,19,73,0,4,1,0
6d48c3e1,f5a6cc88,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",90,11.333333333333334,10,14.5,NA,NA,NA,NA,80,0,86,2,2,NA,20,488,5254,33878,0,0,0,0,0,0,0,175,157,118,0,0,0,0,51,49,18,1,47,13,21,11,7,18,80,0,8,1,0
837723fb,03759bb1,ec3f85d5,Charter School,"Capital District, New York",89,19,19,18,NA,21,19,20,86,2,22,1,0,33,16,247,4062,14933,0,39,41,38,35,41,53,0,0,0,0,0,0,0,100,0,7,0,62,3,18,6,11,6,91,0,1,0,0
1558d2d8,03759bb1,ec3f85d5,Charter School,"Capital District, New York",88,21.333333333333332,21.333333333333332,21,NA,19,22,17,89,2,29,1,0,13,5,319,3453,12118,0,51,56,43,46,59,64,0,0,0,0,0,0,0,0,100,10,0,63,9,15,5,8,3,93,3,2,0,0
39cb18f4,03759bb1,ec3f85d5,Charter School,"Capital District, New York",87,29.5,27.5,29,NA,NA,NA,NA,81,1,40,0,1,40,20,820,1790,16863,0,82,101,100,96,86,84,87,93,91,0,0,0,0,50,50,3,0,81,1,11,1,5,6,82,0,5,0,0
819dc318,03759bb1,ec3f85d5,Charter School,"Capital District, New York",73,23.5,23.5,NA,NA,NA,NA,NA,54,1,15,1,0,20,12,349,3,14226,0,74,78,71,81,45,0,0,0,0,0,0,0,0,47,53,5,1,64,1,24,2,8,4,55,0,7,0,0
d228fa32,03759bb1,ec3f85d5,Charter School,"Capital District, New York",86,26,26,24,NA,NA,NA,NA,82,3,30,0,3,50,22,676,2187,16767,0,66,73,71,77,74,73,87,83,72,0,0,0,0,49,51,3,0,82,0,11,3,3,5,86,0,5,0,0
db314deb,03759bb1,ec3f85d5,Charter School,"Capital District, New York",85,16,16,13,13,NA,NA,NA,92,0,27,0,0,65,15,427,1290,15144,0,0,0,0,0,0,0,45,45,43,99,83,69,43,100,0,0,0,76,1,14,2,7,8,92,0,6,0,0
0fa409ae,03759bb1,ec3f85d5,Charter School,"Capital District, New York",92,16.5,16,16.5,17.5,NA,NA,NA,84,0,47,4,2,61,13,391,1034,20848,0,0,0,0,0,0,0,68,56,58,49,65,61,34,0,100,10,1,62,8,17,9,2,5,87,0,0,0,0
de03c6b6,0a4984df,ec3f85d5,Average Need,"Capital District, New York",94,17.666666666666668,15.4,14.6,18.5,NA,NA,NA,37,3,41,3,0,NA,6,326,1309,33912,0,0,0,0,0,0,0,0,53,51,58,51,52,61,50,50,0,0,1,0,3,94,2,19,39,0,0,0,0
a7f5f64b,0a4984df,ec3f85d5,Average Need,"Capital District, New York",93,16.75,16.75,15,NA,NA,NA,NA,37,2,38,1,0,NA,1,386,1388,27334,31,57,51,47,56,43,44,57,0,0,0,0,0,0,54,46,0,0,0,1,3,94,2,14,39,0,0,1,0
58af20ce,56f2c546,ec3f85d5,Low Need,"Capital District, New York",96,15,15,17,NA,NA,NA,NA,11,0,26,1,1,NA,1,230,140,26214,0,37,34,41,42,41,33,0,0,0,0,0,0,0,48,52,0,0,4,3,2,83,7,11,15,0,0,0,0
155074b4,56f2c546,ec3f85d5,Low Need,"Capital District, New York",96,19,19,17,NA,NA,NA,NA,14,1,35,1,0,NA,1,372,136,22578,0,62,59,79,61,60,51,0,0,0,0,0,0,0,48,52,2,0,3,8,3,80,6,11,18,0,0,0,0
ca0b38cc,56f2c546,ec3f85d5,Low Need,"Capital District, New York",95,15.333333333333334,15.333333333333334,15,NA,NA,NA,NA,13,1,36,1,1,NA,1,331,129,24434,0,57,47,44,69,54,60,0,0,0,0,0,0,0,58,42,0,0,3,3,5,81,9,18,16,0,0,0,1
84ddd8bb,56f2c546,ec3f85d5,Low Need,"Capital District, New York",96,18.666666666666668,18.666666666666668,20,NA,NA,NA,NA,12,1,39,1,1,NA,0,455,142,21718,0,56,81,73,77,69,99,0,0,0,0,0,0,0,52,48,5,0,2,7,6,79,6,8,15,0,0,0,0
e91b8fad,56f2c546,ec3f85d5,Low Need,"Capital District, New York",95,19.666666666666668,21.4,19,NA,NA,NA,NA,14,1,89,5,1,NA,1,902,143,24895,0,0,0,0,0,0,0,302,305,289,0,0,0,0,52,48,2,0,2,7,4,81,5,12,16,0,0,0,0
b109194a,56f2c546,ec3f85d5,Low Need,"Capital District, New York",95,19,18.333333333333332,17.25,19,NA,NA,NA,15,0,110,8,1,NA,2,1373,139,23282,0,0,0,0,0,0,0,0,0,0,354,326,331,348,52,48,1,0,3,8,3,83,2,8,16,0,0,0,0
dfc1edec,56f2c546,ec3f85d5,Low Need,"Capital District, New York",96,19.333333333333332,19.333333333333332,18,NA,NA,NA,NA,14,0,38,1,1,NA,0,429,137,22462,0,63,72,60,84,77,73,0,0,0,0,0,0,0,48,52,3,0,2,4,5,85,4,12,18,0,1,0,0
c34268f2,e93bd0b0,ec3f85d5,Average Need,"Capital District, New York",90,20,14,13.5,15.5,NA,NA,NA,39,4,59,3,0,NA,8,518,1974,25048,0,0,0,0,0,0,0,0,0,0,129,140,115,132,52,48,1,0,5,1,8,78,8,17,44,0,1,0,0
