Course Element,Item Number,Responsible Party,Date,Time,Details
Class Session,1,Instructor,2026-01-28,6:05pm ET,Fundamentals of ML: I. Introduction to ML
Class Session,2,Instructor,2026-02-04,6:05pm ET,Fundamentals of ML: II. Linear Algebra Foundations
Class Session,3,Instructor,2026-02-11,6:05pm ET,Fundamentals of ML: III. Accuracy and Loss in ML
Class Session,4,Instructor,2026-02-18,6:05pm ET,Fundamentals of ML: IV. Optimization & Simulation in ML
Class Session,5,Instructor,2026-02-25,6:05pm ET,Supervised Learning: I. Regularization & Shrinkage
Class Session,6,Instructor,2026-03-04,6:05pm ET,Supervised Learning: II. Penalized Regression
Class Session,7,Instructor,2026-03-11,6:05pm ET,Supervised Learning: III. Generative Classifiers
Class Session,8,Instructor,2026-03-18,6:05pm ET,Supervised Learning: IV. Discriminative Classifiers & Non-Linear Methods
Class Session,9,Instructor,2026-03-25,6:05pm ET,Supervised Learning: V. Trees & Ensemble Methods
Holiday,1,,2026-04-01,,No Class: Baruch Spring Recess (Week 1 of 2)
Holiday,2,,2026-04-08,,No Class: Baruch Spring Recess (Week 2 of 2)
Class Session,10,Instructor,2026-04-15,6:05pm ET,Unsupervised Learning: I. Introduction
Class Session,11,Instructor,2026-04-22,6:05pm ET,Unsupervised Learning: II. Clustering
Class Session,12,Instructor,2026-04-29,6:05pm ET,Unsupervised Learning: III. Dimension Reduction & Manifold Learning
Class Session,13,Instructor,2026-05-06,6:05pm ET,Unsupervised Learning: IV. Generative Models
Class Session,14,Instructor,2026-05-13,6:05pm ET,Course Wrap-Up
Exam Period,,,2026-05-20,,Course Competition Final Presentations [Tentative]
Test,1,Students,2026-02-25,6:15pm ET,Test I: Fundamentals of ML
Test,2,Students,2026-04-15,6:15pm ET,Test II: Supervised Learning
Test,3,Students,2026-05-13,6:15pm ET,Test III: Unsupervised Learning
Prediction Competition,,Instructor,2026-02-18,8:30pm ET,Prediction Competition Opened
Prediction Competition,,Students,2026-05-20,6:00pm ET,In-Class Presentations
Prediction Competition,,Students,2026-05-26,11:59pm ET,Final Report
Syllabus Quiz,,Students,2026-02-12,11:59pm ET,Syllabus Quiz on Brightspace for Verification of Enrollment
